PersonalID,FirstName,LastName,SSN,SSNDataQuality,DOB,DOBDataQuality,RaceEthnicity,Gender,VeteranStatus,DisablingCondition,CreatedDate
afb9b190,Ashley,Lewis,161-76-4287,1,1994-09-27 19:20:36.360053,1,[6],[1],0,0,2024-03-11
5628d354,Matthew,Taylor,251-40-3465,99,1987-03-31 19:20:36.360074,1,[2],[1],0,0,2021-12-18
cd43faeb,Michael,Smith,883-48-8133,1,2005-06-29 19:20:36.360086,1,[99],[0],0,1,2022-05-31
a583f469,Anthony,Lee,980-18-4335,1,1973-04-05 19:20:36.360097,8,"[7, 5]",[1],0,1,2021-07-14
019412dc,Margaret,Allen,373-46-3631,1,1997-08-02 19:20:36.360107,1,[6],[1],0,9,2024-05-13
65083a14,Anthony,Jones,715-40-7649,1,2004-07-29 19:20:36.360117,1,[6],[0],0,1,2022-10-27
3005e851,Linda,Wilson,253-34-1453,1,1968-04-02 19:20:36.360126,2,"[1, 5]","[0, 5]",0,9,2023-03-07
6c8164c5,David,Brown,947-49-8604,8,1971-09-03 19:20:36.360136,1,[5],[0],0,8,2021-09-30
6579ac6d,Susan,Young,546-64-1606,1,1947-12-31 19:20:36.360145,1,[9],[1],0,1,2022-11-12
e19302ed,Donald,Lewis,379-27-1477,1,1997-03-09 19:20:36.360154,1,[6],[1],0,8,2021-12-26
04c61787,William,Brown,922-45-3883,1,1997-12-10 19:20:36.360165,1,[99],[0],0,1,2022-10-14
3289b090,Thomas,Lewis,143-72-1326,99,1990-11-03 19:20:36.360175,1,[6],[0],0,0,2023-09-15
2300e7ea,Lisa,Wilson,185-50-5882,2,1943-03-31 19:20:36.360183,8,[1],[1],0,1,2021-05-19
c24dd98e,Jessica,Taylor,516-XX-XXXX,1,1972-09-29 19:20:36.360192,1,"[3, 5]",[1],0,1,2022-11-18
e578d41f,William,Brown,787-XX-XXXX,1,2012-08-22 19:20:36.360201,1,"[3, 6, 5]",[0],0,1,2021-02-06
11166955,Mary,Miller,192-60-3302,1,2011-04-20 19:20:36.360210,1,"[3, 5]",[8],0,1,2024-05-31
0cbdebd2,John,Brown,684-74-2976,1,1998-05-22 19:20:36.360218,8,[5],[1],0,1,2024-04-13
142faf30,Susan,Williams,948-84-9605,1,1976-03-13 19:20:36.360228,8,[3],[1],0,1,2023-07-09
e6798aac,Susan,White,192-40-3003,1,1954-02-09 19:20:36.360236,1,[5],[1],0,1,2023-02-23
8a653211,Joseph,Lewis,420-52-7388,1,2002-03-15 19:20:36.360245,1,"[6, 5]",[1],0,1,2023-11-13
457ef7cf,Sarah,Walker,861-40-7928,1,1995-03-14 19:20:36.360254,1,[2],[0],0,1,2022-04-22
a4109db8,Thomas,Hall,209-32-4507,1,1989-06-05 19:20:36.360262,1,[4],[1],0,1,2023-10-29
2ad3aa05,Thomas,Jones,550-XX-XXXX,1,1941-05-19 19:20:36.360271,1,"[2, 6]",[4],0,0,2024-04-18
40acf2d7,Mark,Williams,983-85-1916,1,1976-11-16 19:20:36.360279,1,[5],[0],0,1,2021-01-28
300b77db,Patricia,Smith,483-99-2850,1,1973-12-25 19:20:36.360288,8,[5],[0],0,0,2022-04-22
b48bf75d,Sarah,Walker,533-70-5036,2,1993-06-28 19:20:36.360296,1,[1],[0],0,1,2021-02-13
13e8696e,Matthew,Martin,903-XX-XXXX,1,1986-03-11 19:20:36.360305,1,[1],[1],1,1,2024-06-16
59a4e71c,Karen,Walker,471-XX-XXXX,1,2004-10-24 19:20:36.360313,1,"[3, 5]",[1],0,1,2021-09-12
da82f17c,Lisa,White,476-49-1345,1,2008-05-26 19:20:36.360322,1,"[3, 5]",[1],0,1,2022-09-25
791fb141,Mark,Johnson,720-14-1895,1,1969-08-28 19:20:36.360330,1,"[1, 3]",[1],0,99,2022-04-30
81de4121,Karen,Miller,907-95-4926,1,1972-09-08 19:20:36.360339,1,[99],[1],0,1,2023-05-28
761f1fa2,Donald,Jones,493-49-6945,1,1952-03-08 19:20:36.360347,1,[4],[1],1,9,2022-05-14
8e91cf9e,Elizabeth,Johnson,801-XX-XXXX,1,1954-08-27 19:20:36.360356,1,[3],[1],0,1,2024-06-23
9e67fd23,Joseph,Hall,987-40-8248,9,1993-12-03 19:20:36.360364,9,"[1, 3, 6]",[1],0,0,2021-06-12
93b80be2,Nancy,Rodriguez,502-42-5929,99,1990-06-04 19:20:36.360373,1,"[3, 6, 4]",[0],0,0,2021-05-03
f1085503,Susan,Thompson,942-40-5872,2,1942-01-20 19:20:36.360381,1,"[3, 7, 4]",[1],0,1,2021-10-09
815f1b81,Sandra,Martinez,264-66-6196,1,1966-11-01 19:20:36.360389,1,"[3, 5]",[1],0,0,2023-02-07
00a36962,Lisa,Johnson,885-XX-XXXX,1,2004-07-05 19:20:36.360398,1,[7],[1],0,1,2023-10-19
1f4de686,Matthew,Martin,908-14-5489,1,1992-07-10 19:20:36.360406,1,[2],[0],0,1,2022-08-31
7f00adff,Sandra,Jones,942-XX-XXXX,1,2005-12-03 19:20:36.360414,2,"[3, 6]",[1],0,1,2022-02-18
6a777028,Donald,King,603-70-7765,1,1945-05-20 19:20:36.360422,1,[5],[0],0,1,2021-11-07
3a8426f4,John,Moore,440-XX-XXXX,1,1982-02-15 19:20:36.360431,1,[3],[1],0,1,2023-02-09
c4820d06,Michael,Johnson,997-22-3627,1,2003-02-25 19:20:36.360439,1,"[3, 5]",[0],0,1,2022-02-23
d10e701c,Donald,Williams,618-18-6764,9,1989-05-31 19:20:36.360447,1,[5],[0],0,1,2021-03-19
31be8830,Donald,Taylor,846-80-6353,1,1996-01-02 19:20:36.360456,1,[5],[1],0,1,2022-05-03
59d5f1e7,Joseph,Rodriguez,128-16-4010,1,1985-08-06 19:20:36.360464,1,"[3, 6]",[1],0,8,2024-05-09
19ad4fa5,John,Smith,910-92-3229,1,2001-08-24 19:20:36.360473,1,[5],[0],0,0,2023-06-28
b29c1e40,John,Walker,304-90-6006,1,1997-07-02 19:20:36.360481,1,"[3, 5]",[0],0,99,2022-11-05
e2455518,Richard,Jones,184-24-3585,1,1980-07-03 19:20:36.360489,1,"[3, 5]",[1],0,1,2021-10-02
e1133e32,Donald,Hall,830-93-3131,1,1986-11-20 19:20:36.360497,1,[5],[1],0,1,2022-07-24
9a84b54f,Jennifer,Jones,802-62-6233,99,1998-03-05 19:20:36.360506,1,"[3, 5]",[0],0,0,2022-10-13
78f238f6,Elizabeth,King,994-27-5270,2,1966-11-25 19:20:36.360514,2,"[3, 5]",[1],0,1,2021-03-23
659502be,John,Robinson,707-51-5616,9,1985-12-25 19:20:36.360522,1,[8],[1],1,0,2023-12-03
fad0489b,Patricia,Miller,524-57-3980,8,1991-12-11 19:20:36.360531,1,[3],[0],0,0,2023-04-30
8529f79d,Jennifer,Martinez,486-83-4677,1,1978-10-10 19:20:36.360539,1,[3],[1],0,1,2022-08-14
76e0eba3,William,Hernandez,123-81-4747,9,1996-10-04 19:20:36.360547,1,[3],[1],0,1,2021-02-18
bfe8c12d,Patricia,Miller,573-XX-XXXX,1,2003-05-04 19:20:36.360555,1,"[1, 3, 5]",[1],0,1,2022-04-15
f54c55c0,Matthew,Davis,818-31-1815,1,2010-07-20 19:20:36.360564,9,"[6, 5]",[0],0,9,2022-11-10
93dda20a,Robert,Rodriguez,539-86-5262,1,1991-02-10 19:20:36.360572,1,"[3, 6]",[1],1,1,2022-12-03
1a222ced,Sarah,Thomas,476-31-2922,1,1995-01-30 19:20:36.360581,1,[7],[1],0,1,2022-05-12
98d13071,Robert,Smith,638-65-8433,1,2000-05-06 19:20:36.360589,1,[5],[1],0,0,2022-02-26
7ddbb0af,Ashley,Williams,606-25-4677,1,2003-06-18 19:20:36.360597,1,"[1, 3, 5]",[0],0,1,2024-01-10
a34d658b,Michael,Brown,295-44-5717,2,2003-07-25 19:20:36.360606,1,[6],[1],1,1,2021-04-21
98bc03e8,Thomas,Young,491-26-8066,1,2009-10-23 19:20:36.360614,8,[5],[0],0,99,2022-05-24
